id	category	kind	text
q-01	identity	root	Please introduce yourself briefly.
q-02	identity	root	Can you confirm the course and the university you have applied to, and when it starts?
q-03	education	root	Tell me about your previous qualification and why you chose that subject.
q-04	education	root	How does your previous study connect with the course you want to study now?
q-05	study_gap	root	What have you been doing since you finished your last qualification?
q-06	study_gap	root	How will your work experience help you in this course?
q-07	why_uk	root	Why do you want to study in the UK rather than in Nepal?
q-08	why_uk	root	Did you consider Australia, Canada or the USA? Why did you choose the UK instead?
q-09	why_university	root	Why did you choose {{university}}?
q-10	why_university	root	What do you know about {{city}}, where you will be living?
q-11	why_course	root	Which modules will you study on this course, and which one interests you most?
q-12	why_course	root	How is this course assessed? Exams, coursework or both?
q-13	progression	root	This course is at the same level as your previous qualification. Why do you need it?
q-14	finance	root	How will you pay your tuition fees and your living costs?
q-15	finance	root	Who is your sponsor, what do they do, and roughly what do they earn?
q-16	finance	root	What do you think your monthly living costs in the UK will be?
q-17	accommodation	root	Where do you plan to live, and how will you travel to campus?
q-18	immigration	root	Have you applied for a visa to any country before? Have you ever been refused?
q-19	future_plans	root	What do you plan to do after you complete this course?
q-20	future_plans	root	How will this qualification help you specifically, back in Nepal?
q-21	conversational	root	Tell me about a challenge you faced recently and how you handled it.
q-22	conversational	root	Is there anything else you would like to add before we finish?
q-23	identity	root	What do you do at the moment — are you working or studying?
q-24	education	root	What grades did you get in your last qualification, and which subjects did you do best in?
q-25	education	root	Where did you complete your schooling and your last qualification, and under which board or university?
q-26	education	root	Have you studied outside your home country before?
q-27	study_gap	root	What did you learn in your time away from study that will help you on this course?
q-28	study_gap	root	Why did you not continue your studies immediately after your last qualification?
q-29	why_uk	root	What do you know about studying and living in the UK?
q-30	why_uk	root	Studying in the UK costs much more than studying at home. Why is it worth it for you?
q-31	why_uk	root	Why are you applying for this intake rather than an earlier or a later one?
q-32	why_uk	root	What challenges do you expect as an international student, and how will you deal with them?
q-33	why_university	root	How did you first find out about {{university}}?
q-34	why_university	root	Which other universities did you apply to, and what offers did you receive?
q-35	why_university	root	Do you know anyone who has studied at {{university}} or who lives in the UK?
q-36	why_university	root	How big is {{university}}, and what kind of university is it?
q-37	why_university	root	What support does {{university}} offer international students?
q-38	why_university	root	Why {{university}}, when other universities offer the same course?
q-39	why_course	root	How is your course structured — what happens in each semester or term?
q-40	why_course	root	How long is your course, and what exact qualification will you hold when you finish?
q-41	why_course	root	Does your course carry any professional recognition, accreditation or placement?
q-42	why_course	root	Which other courses did you consider before choosing this one?
q-43	why_course	root	What were the entry requirements for your course, and how did you meet them?
q-44	why_course	root	What will you do if the course turns out to be harder than you expected?
